notification_date;window_size;lambda_ih;lambda_if;lambda_hu;lambda_hf;lambda_uf
2020-09-07;75 days 00:00:00.000000000;0.07477352986335022;0.02297328420082911;0.10010266940451745;0.22818275154004106;0.5128205128205128
2020-08-03;75 days 00:00:00.000000000;0.07010029251984956;0.028478896782281656;0.11445603576751118;0.29508196721311475;0.625
2020-03-23;75 days 00:00:00.000000000;0.05609284332688588;0.009671179883945842;0.14942528735632185;0.14942528735632185;0.38461538461538464
2020-06-04;75 days 00:00:00.000000000;0.05650913080962458;0.02359119053217337;0.17198335644937587;0.33980582524271846;0.7096774193548387
2020-09-09;75 days 00:00:00.000000000;0.07544880191077895;0.02269050003852377;0.10007658922644881;0.22568292060250192;0.5153061224489796
2020-09-02;75 days 00:00:00.000000000;0.07335570339624105;0.024322594410070408;0.1044420941300899;0.2451084082496034;0.5443037974683544
2020-05-24;75 days 00:00:00.000000000;0.04812013592020169;0.019730351857941468;0.2072892938496583;0.3416856492027335;0.7362637362637363
2020-09-23;75 days 00:00:00.000000000;0.07589233469865418;0.01870489565047786;0.09663325623233102;0.18658442559753277;0.4228723404255319
2020-09-28;75 days 00:00:00.000000000;0.07655150687808464;0.018208547726556758;0.09766803840877915;0.1821673525377229;0.41292134831460675
2020-10-13;75 days 00:00:00.000000000;0.0767749566748274;0.014689296619261135;0.0906485130777499;0.1533500537441777;0.35968379446640314
2020-09-04;75 days 00:00:00.000000000;0.074234535281318;0.02391591544917625;0.1023292331850301;0.23894268516095263;0.5370843989769821
2020-10-06;75 days 00:00:00.000000000;0.07698836081474297;0.01622211445198836;0.09165354330708661;0.16692913385826771;0.3745704467353952
2020-03-21;75 days 00:00:00.000000000;0.0577305905773059;0.0092899800928998;0.14942528735632185;0.13793103448275862;0.3076923076923077
2020-09-11;75 days 00:00:00.000000000;0.07602610139387621;0.022085794818332755;0.09725749111223972;0.2186389029964449;0.4908616187989556
