fecha,peor,mejor,proy,eq,X2w,X4w,q25,q75,X10p,X20p,U,UTI,CapacidadMax,FechaCapacidadMax
2020-11-27,,,,,,,,,,,132.645559039089,132.0,461,2020-12-31
2020-11-28,,,,,,,,,,,134.511301449385,131.0,461,2020-12-31
2020-11-29,,,,,,,,,,,136.2751790528,127.0,461,2020-12-31
2020-11-30,,,,,,,,,,,137.832274187704,133.0,461,2020-12-31
2020-12-01,,,,,,,,,,,139.458455040686,,461,2020-12-31
2020-12-02,,,,,,,,,,,141.36012994923598,,461,2020-12-31
2020-12-03,,,,,,,,,,,143.214021120425,0.0,461,2020-12-31
2020-12-04,,,,,,,,,,,145.173733519324,1.0,461,2020-12-31
2020-12-05,,,,,,,,,,,147.250501100654,0.0,461,2020-12-31
2020-12-06,,,,,,,,,,,149.43525289349898,2.0,461,2020-12-31
2020-12-07,,,,,,,,,,,151.485122743104,11.0,461,2020-12-31
2020-12-08,,,,,,,,,,,154.058607588295,35.0,461,2020-12-31
2020-12-09,,,,,,,,,,,156.466554385945,134.0,461,2020-12-31
2020-12-10,,,,,,,,,,,158.794527816563,146.0,461,2020-12-31
2020-12-11,,,,,,,,,,,161.006479815466,108.0,461,2020-12-31
2020-12-12,,,,,,,,,,,163.044652211746,147.0,461,2020-12-31
2020-12-13,,,,,,,,,,,164.96712983292602,143.0,461,2020-12-31
2020-12-14,,,,,,,,,,,166.461018560928,160.0,461,2020-12-31
2020-12-15,,,,,,,,,,,167.905028886411,172.0,461,2020-12-31
2020-12-16,,,,,,,,,,,168.90729886943998,166.0,461,2020-12-31
2020-12-17,,,,,,,,,,,169.520537453678,179.0,461,2020-12-31
2020-12-18,,,,,,,,,,,169.72028156597798,182.0,461,2020-12-31
2020-12-19,,,,,,,,,,,169.67837343751998,177.0,461,2020-12-31
2020-12-20,,,,,,,,,,,169.53595240462,174.0,461,2020-12-31
2020-12-21,,,,,,,,,,,168.993296408489,181.0,461,2020-12-31
2020-12-22,,,,,,,,,,,168.426812223496,182.0,461,2020-12-31
2020-12-23,,,,,,,,,,,167.774165468163,174.0,461,2020-12-31
2020-12-24,,,,,,,,,,,167.12382303926202,179.0,461,2020-12-31
2020-12-25,,,,,,,,,,,166.523070929824,179.0,461,2020-12-31
2020-12-26,,,,,,,,,,,166.074384672432,172.0,461,2020-12-31
2020-12-27,,,,,,,,,,,165.909098727071,163.0,461,2020-12-31
2020-12-28,,,,,,,,,,,166.097241647639,174.0,461,2020-12-31
2020-12-29,,,,,,,,,,,166.180878532381,162.0,461,2020-12-31
2020-12-30,,,,,,,,,,,166.68643892639298,157.0,461,2020-12-31
2020-12-31,,,,,,,,,,,167.529108599391,163.0,461,2020-12-31
2021-01-01,,,,,,,,,,,168.353144208043,163.0,461,2020-12-31
2021-01-02,,,,,,,,,,,169.497812230083,247.0,461,2020-12-31
2021-01-03,,,,,,,,,,,170.85403564511802,262.0,461,2020-12-31
2021-01-04,,,,,,,,,,,172.12491080873798,428.0,461,2020-12-31
2021-01-05,,,,,,,,,,,173.627303321791,512.0,461,2020-12-31
2021-01-06,,,,,,,,,,,175.79169432137002,607.0,461,2020-12-31
2021-01-07,,,,,,,,,,,178.52410685790002,568.0,461,2020-12-31
2021-01-08,,,,,,,,,,,181.763381852197,317.0,461,2020-12-31
2021-01-09,,,,,,,,,,,185.87031444799499,94.0,461,2020-12-31
2021-01-10,,,,,,,,,,,190.331124206146,13.0,461,2020-12-31
2021-01-11,,,,,,,,,,,195.677195146577,21.0,461,2020-12-31
2021-01-12,,,,,,,,,,,201.212721857151,42.0,461,2020-12-31
2021-01-13,,,,,,,,,,,206.19912450384498,185.0,461,2020-12-31
2021-01-14,,,,,,,,,,,211.282502228886,186.0,461,2020-12-31
2021-01-15,,,,,,,,,,,215.848213695922,187.0,461,2020-12-31
2021-01-16,,,,,,,,,,,220.45327471223098,187.0,461,2020-12-31
2021-01-17,,,,,,,,,,,225.97684861329202,186.0,461,2020-12-31
2021-01-18,,,,,,,,,,,229.961648018062,204.0,461,2020-12-31
2021-01-19,,,,,,,,,,,233.885693913571,209.0,461,2020-12-31
2021-01-20,,,,,,,,,,,237.18898794161097,220.0,461,2020-12-31
2021-01-21,,,,,,,,,,,239.646669027616,238.0,461,2020-12-31
2021-01-22,,,,,,,,,,,241.651852283436,250.0,461,2020-12-31
2021-01-23,,,,,,,,,,,242.861116655167,243.0,461,2020-12-31
2021-01-24,,,,,,,,,,,243.81696489424198,245.0,461,2020-12-31
2021-01-25,,,,,,,,,,,244.23336860537202,244.0,461,2020-12-31
2021-01-26,,,,,,,,,,,244.43594833732,242.0,461,2020-12-31
2021-01-27,,,,,,,,,,,244.28814591558103,251.0,461,2020-12-31
2021-01-28,,,,,,,,,,,243.847406161988,242.0,461,2020-12-31
2021-01-29,,,,,,,,,,,243.18544888957,255.0,461,2020-12-31
2021-01-30,,,,,,,,,,,242.466434220778,251.0,461,2020-12-31
2021-01-31,,,,,,,,,,,241.836018039758,247.0,461,2020-12-31
2021-02-01,,,,,,,,,,,241.05274021248403,160.0,461,2020-12-31
2021-02-02,,,,,,,,,,,240.26660427289798,238.0,461,2020-12-31
2021-02-03,,,,,,,,,,,239.33385416068901,261.0,461,2020-12-31
2021-02-04,,,,,,,,,,,238.405266924465,431.0,461,2020-12-31
2021-02-05,,,,,,,,,,,237.451641027106,508.0,461,2020-12-31
2021-02-06,,,,,,,,,,,236.453408891202,605.0,461,2020-12-31
2021-02-07,,,,,,,,,,,235.451202874313,573.0,461,2020-12-31
2021-02-08,,,,,,,,,,,234.359282031766,325.0,461,2020-12-31
2021-02-09,,,,,,,,,,,233.35482675127102,90.0,461,2020-12-31
2021-02-10,,,,,,,,,,,232.67604487592098,14.0,461,2020-12-31
2021-02-11,,,,,,,,,,,232.39870592141898,28.0,461,2020-12-31
2021-02-12,,,,,,,,,,,232.12257019726897,47.0,461,2020-12-31
2021-02-13,,,,,,,,,,,232.126268424073,242.0,461,2020-12-31
2021-02-14,,,,,,,,,,,232.352284844304,240.0,461,2020-12-31
2021-02-15,,,,,,,,,,,232.67466271671,233.0,461,2020-12-31
2021-02-16,,,,,,,,,,,233.231176679964,231.0,461,2020-12-31
2021-02-17,,,,,,,,,,,234.16033979837897,232.0,461,2020-12-31
2021-02-18,,,,,,,,,,,235.102448066133,240.0,461,2020-12-31
2021-02-19,,,,,,,,,,,236.65993427728802,239.0,461,2020-12-31
2021-02-20,,,,,,,,,,,238.676238411931,237.0,461,2020-12-31
2021-02-21,,,,,,,,,,,240.83619600534402,228.0,461,2020-12-31
2021-02-22,,,,,,,,,,,243.45008102778,242.0,461,2020-12-31
2021-02-23,,,,,,,,,,,246.29232972781102,250.0,461,2020-12-31
2021-02-24,,,,,,,,,,,249.467540610014,256.0,461,2020-12-31
2021-02-25,,,,,,,,,,,253.16351322274,256.0,461,2020-12-31
2021-02-26,,,,,,,,,,,257.35104839104696,255.0,461,2020-12-31
2021-02-27,,,,,,,,,,,261.500538713724,254.0,461,2020-12-31
2021-02-28,,,,,,,,,,,265.949365108903,257.0,461,2020-12-31
2021-03-01,,,,,,,,,,,270.85664563318403,156.0,461,2020-12-31
2021-03-02,,,,,,,,,,,275.720970235379,232.0,461,2020-12-31
2021-03-03,,,,,,,,,,,280.978818335936,270.0,461,2020-12-31
2021-03-04,,,,,,,,,,,286.114550335136,428.0,461,2020-12-31
2021-03-05,,,,,,,,,,,290.914446520731,527.0,461,2020-12-31
2021-03-06,,,,,,,,,,,296.05594129009,587.0,461,2020-12-31
2021-03-07,,,,,,,,,,,301.255477382324,576.0,461,2020-12-31
2021-03-08,,,,,,,,,,,306.39198401934397,311.0,461,2020-12-31
2021-03-09,,,,,,,,,,,311.167326794926,88.0,461,2020-12-31
2021-03-10,,,,,,,,,,,316.547471078576,14.0,461,2020-12-31
2021-03-11,,,,,,,,,,,321.842764766647,28.0,461,2020-12-31
2021-03-12,,,,,,,,,,,327.282944151062,48.0,461,2020-12-31
2021-03-13,,,,,,,,,,,332.53388855928904,342.0,461,2020-12-31
2021-03-14,,,,,,,,,,,337.650565685551,349.0,461,2020-12-31
2021-03-15,,,,,,,,,,,342.660492158255,353.0,461,2020-12-31
2021-03-16,,,,,,,,,,,347.61321534928595,354.0,461,2020-12-31
2021-03-17,,,,,,,,,,,352.278967389779,352.0,461,2020-12-31
2021-03-18,,,,,,,,,,,356.42423004630797,368.0,461,2020-12-31
2021-03-19,,,,,,,,,,,360.824821142923,382.0,461,2020-12-31
2021-03-20,,,,,,,,,,,365.31183527524803,377.0,461,2020-12-31
2021-03-21,,,,,,,,,,,369.882385253805,377.0,461,2020-12-31
2021-03-22,,,,,,,,,,,374.088604225738,404.0,461,2020-12-31
2021-03-23,,,,,,,,,,,378.37789848855596,424.0,461,2020-12-31
2021-03-24,,,,,,,,,,,382.55579203811004,413.0,461,2020-12-31
2021-03-25,,,,,,,,,,,386.236022611174,405.0,461,2020-12-31
2021-03-26,,,,,,,,,,,389.939831702758,420.0,461,2020-12-31
2021-03-27,,,,,,,,,,,393.333925632443,423.0,461,2020-12-31
2021-03-28,,,,,,,,,,,396.32572947892305,407.0,461,2020-12-31
2021-03-29,,,,,,,,,,,399.081163309401,405.0,461,2020-12-31
2021-03-30,,,,,,,,,,,401.76739658905603,397.0,461,2020-12-31
2021-03-31,,,,,,,,,,,404.834232948936,408.0,461,2020-12-31
2021-04-01,,,,,,,,,,,408.27238335927103,162.0,461,2020-12-31
2021-04-02,,,,,,,,,,,412.467980317443,231.0,461,2020-12-31
2021-04-03,,,,,,,,,,,417.038157503001,293.0,461,2020-12-31
2021-04-04,,,,,,,,,,,421.83701870383,431.0,461,2020-12-31
2021-04-05,,,,,,,,,,,427.180520993692,553.0,461,2020-12-31
2021-04-06,,,,,,,,,,,432.931877528588,605.0,461,2020-12-31
2021-04-07,,,,,,,,,,,439.458677529757,573.0,461,2020-12-31
2021-04-08,,,,,,,,,,,445.85681755397303,314.0,461,2020-12-31
2021-04-09,,,,,,,,,,,452.39696270121397,87.0,461,2020-12-31
2021-04-10,,,,,,,,,,,458.88264368758905,12.0,461,2020-12-31
2021-04-11,,,,,,,,,,,464.95864171794295,31.0,461,2020-12-31
2021-04-12,,,,,,,,,,,470.46071098161696,49.0,461,2020-12-31
2021-04-13,,,,,,,,,,,476.152132185582,485.0,461,2020-12-31
2021-04-14,,,,,,,,,,,482.02195304103896,489.0,461,2020-12-31
2021-04-15,,,,,,,,,,,487.38199652514396,504.0,461,2020-12-31
2021-04-16,,,,,,,,,,,492.52886313504206,501.0,461,2020-12-31
2021-04-17,,,,,,,,,,,497.01115962687203,499.0,461,2020-12-31
2021-04-18,,,,,,,,,,,500.597906115954,495.0,461,2020-12-31
2021-04-19,,,,,,,,,,,503.759615047954,510.0,461,2020-12-31
2021-04-20,,,,,,,,,,,506.326274762633,521.0,461,2020-12-31
2021-04-21,,,,,,,,,,,509.24078518317003,508.0,461,2020-12-31
2021-04-22,,,,,,,,,,,512.2973484105501,503.0,461,2020-12-31
2021-04-23,,,,,,,,,,,515.370663196387,525.0,461,2020-12-31
2021-04-24,,,,,,,,,,,518.194793176382,521.0,461,2020-12-31
2021-04-25,,,,,,,,,,,520.794883306728,514.0,461,2020-12-31
2021-04-26,,,,,,,,,,,523.441438643341,549.0,461,2020-12-31
2021-04-27,,,,,,,,,,,525.79512659988,563.0,461,2020-12-31
2021-04-28,,,,,,,,,,,528.5712410180661,537.0,461,2020-12-31
2021-04-29,,,,,,,,,,,531.767542557189,526.0,461,2020-12-31
2021-04-30,,,,,,,,,,,535.158521801523,516.0,461,2020-12-31
2021-05-01,,,,,,,,,,,538.768885069235,165.0,461,2020-12-31
2021-05-02,,,,,,,,,,,542.024813290251,233.0,461,2020-12-31
2021-05-03,,,,,,,,,,,545.602468554143,294.0,461,2020-12-31
2021-05-04,,,,,,,,,,,548.340242664663,429.0,461,2020-12-31
2021-05-05,,,,,,,,,,,551.161795053986,552.0,461,2020-12-31
2021-05-06,,,,,,,,,,,553.4778295589659,605.0,461,2020-12-31
2021-05-07,,,,,,,,,,,555.737128460296,591.0,461,2020-12-31
2021-05-08,,,,,,,,,,,557.587194090957,297.0,461,2020-12-31
2021-05-09,,,,,,,,,,,558.954757716398,86.0,461,2020-12-31
2021-05-10,,,,,,,,,,,559.96822701962,14.0,461,2020-12-31
2021-05-11,,,,,,,,,,,560.792513565833,35.0,461,2020-12-31
2021-05-12,,,,,,,,,,,561.8873919112181,49.0,461,2020-12-31
2021-05-13,,,,,,,,,,,562.7610285847351,592.0,461,2020-12-31
2021-05-14,,,,,,,,,,,563.971687402703,590.0,461,2020-12-31
2021-05-15,,,,,,,,,,,564.926772377037,584.0,461,2020-12-31
2021-05-16,,,,,,,,,,,565.959541628672,582.0,461,2020-12-31
2021-05-17,,,,,,,,,,,566.886315547413,560.0,461,2020-12-31
2021-05-18,,,,,,,,,,,567.674663040267,570.0,461,2020-12-31
2021-05-19,,,,,,,,,,,569.126399649649,569.0,461,2020-12-31
2021-05-20,,,,,,,,,,,570.445513638717,584.0,461,2020-12-31
2021-05-21,,,,,,,,,,,571.497439336673,570.0,461,2020-12-31
2021-05-22,,,,,,,,,,,573.530569388024,567.0,461,2020-12-31
2021-05-23,,,,,,,,,,,575.4028428636419,564.0,461,2020-12-31
2021-05-24,,,,,,,,,,,577.362267370437,566.0,461,2020-12-31
2021-05-25,,,,,,,,,,,579.337498823566,601.0,461,2020-12-31
2021-05-26,,,,,,,,,,,580.0904350202591,596.0,461,2020-12-31
2021-05-27,,,,,,,,,,,581.668893899275,598.0,461,2020-12-31
2021-05-28,,,,,,,,,,,583.095332223621,594.0,461,2020-12-31
2021-05-29,,,,,,,,,,,585.083339416315,597.0,461,2020-12-31
2021-05-30,,,,,,,,,,,586.865598024193,585.0,461,2020-12-31
2021-05-31,,,,,,,,,,,589.059705786731,590.0,461,2020-12-31
2021-06-01,,,,,,,,,,,591.450112915381,170.0,461,2020-12-31
2021-06-02,,,,,,,,,,,593.057754067699,235.0,461,2020-12-31
2021-06-03,,,,,,,,,,,595.091839972796,300.0,461,2020-12-31
2021-06-04,,,,,,,,,,,596.7968708143991,427.0,461,2020-12-31
2021-06-05,,,,,,,,,,,597.768453478948,545.0,461,2020-12-31
2021-06-06,,,,,,,,,,,598.691098325536,593.0,461,2020-12-31
2021-06-07,,,,,,,,,,,598.8007430737609,587.0,461,2020-12-31
2021-06-08,,,,,,,,,,,598.804523700044,292.0,461,2020-12-31
2021-06-09,,,,,,,,,,,598.8932763922261,81.0,461,2020-12-31
2021-06-10,,,,,,,,,,,598.654803552104,14.0,461,2020-12-31
2021-06-11,,,,,,,,,,,597.995761317997,35.0,461,2020-12-31
