"date","ndate","beta","beta_lo","beta_hi","lamih","lamih_lo","lamih_hi","lamif","lamif_lo","lamif_hi","lamhu","lamhu_lo","lamhu_hi","lamhf","lamhf_lo","lamhf_hi","lamuf","lamuf_lo","lamuf_hi","S","E","I","R","H","U","F","O","dailyR","dailyF","R_sin_subRegistro","dailyR_sin_subRegistro","seed","numero_reproductivo","adapt_delta_SEIR","S_porciento","I_porciento","O_porciento"
2022-10-20,958,0.225595281038378,0.117700517041244,0.284812025113898,0.00192198116714422,0.000402663625418708,0.00313997919418614,0.000779873784423622,4.16737930132673e-05,0.00214743846334053,0.496285245159327,0.294636271306408,0.904217904862907,0.0803484259119381,0.00546162157282697,0.242560736118806,0.450580304682377,0.228382752035964,0.584749574641174,5732435.9196579,515.915443821675,1290.26081827372,2568285.33916462,3.54926294778986,4.19205041048238,19468.1218902532,1500769.43865789,185.864855702966,0.438776253104152,704049.679418999,6.68633252579677,1706112889,1.24815702195532,0.85,0.790389520440741,0.000250103352689098,0.206926418984501
2022-10-21,959,0.297734710757244,0.233584543035566,0.353485200475715,0.00227652005105212,0.00042518772610454,0.00324362430141338,0.0009097934412152,5.71010900304021e-05,0.00192284290959446,0.373718258379698,0.197168862272792,0.81721518512924,0.0962847970111129,0.00621600826572522,0.243636750686317,0.44116513814528,0.232950175209586,0.592131767963526,5738833.59753529,564.958601656854,1286.97908778871,2568469.22818943,3.48654395755958,4.08256192700366,19468.4661565119,1494325.82729437,183.889024810866,0.344266258642165,704057.244705368,7.5652863686906,2094546651,1.64912321686398,0.85,0.791271633668052,0.000256389204313162,0.206037972438058
2022-10-22,960,0.261530532146568,0.205359030465658,0.329879157200867,0.00276429181141656,0.000577787379658425,0.0037607958254741,0.000619980346255759,3.63515019440555e-05,0.00167336048395711,0.301178706346834,0.134747279573421,0.703061156738734,0.109622683477701,0.00569144175938763,0.242447403732899,0.454333705277786,0.231056246572698,0.587446945740386,5745236.85408341,664.494042623681,1307.68591019292,2568654.20300715,3.51467034590064,3.9226214910726,19468.8323690039,1487802.09408443,184.974817714188,0.366212492011982,704065.166674063,7.92196869538975,189067943,1.45020814493575,0.85,0.792154516083706,0.000272950059379178,0.20513847867388
2022-10-23,961,0.240849331168992,0.153828637871679,0.295445069632291,0.0031681008124764,0.0008840528276117,0.00442722361582736,0.000534744343652313,2.20250087831968e-05,0.00148700165555014,0.307113324135177,0.09502590616267,0.589143345303171,0.078993008531893,0.00478750867938613,0.24133462312128,0.36839565482011,0.225950444913185,0.582006192051041,5751750.29089771,710.217949016898,1347.45070824985,2568843.74204385,3.64902630360203,3.74423547734711,19469.1517654938,1481202.89319924,189.539036705159,0.319396489896462,704073.578194811,8.41152074833936,1207713956,1.33704330148447,0.85,0.793052590178599,0.000284731189803505,0.204228579410105
2022-10-24,962,0.219480622211193,0.115201525575992,0.269280848244331,0.0033435286936449,0.00135606442881867,0.00509829183801103,0.000815694411269304,4.5528358827752e-05,0.00199819695868566,0.218811647556328,0.0265121835683312,0.431554681773042,0.099379429953757,0.00611576301934448,0.242344422385807,0.444502543038157,0.228302427939144,0.584569493406844,5758340.77583103,731.712066978922,1392.05665387701,2569039.411831,3.86160482206473,3.5931983694229,19469.4121664795,1474545.98625993,195.669787148014,0.260400985669548,704078.09705164,4.51885682823404,1970433966,1.21981382202896,0.85,0.793961287685022,0.000293853566395278,0.203310723622945
2022-10-25,963,0.185082168482378,0.100464336158962,0.25478472745201,0.00385853853032704,0.00183665800406609,0.00547711651896747,0.000843686988507118,4.25270662973737e-05,0.0020385690636414,0.142843223907231,0.00874616239885836,0.310836009787406,0.127903060448685,0.00514720936799526,0.241708566428622,0.410600728308882,0.22864601712895,0.589014514732682,5765006.30543241,734.075948731018,1434.22528975762,2569241.35130572,4.12053245491407,3.41436241686132,19469.7624696245,1467835.4937461,201.939474720508,0.350303145070939,704086.063008008,7.96595636853543,1791013205,1.02982722918897,0.85,0.794880332366716,0.0003000047627409,0.20238547944503
2022-10-26,964,0.151846146322703,0.0581669325804717,0.222912765377471,0.00418652091007127,0.00217983779255762,0.00619769002536863,0.00106670039543556,4.80803562813957e-05,0.00223347070214524,0.0955713901490642,0.0036110518030451,0.237157958348885,0.142775197473939,0.00549247634622809,0.241538445800623,0.416812662167149,0.234114753502313,0.589910343410552,5771757.04694916,707.82637718005,1466.78589324037,2569448.72554038,4.48626338719389,3.21581861888584,19470.1222754967,1461077.91420441,207.374234664254,0.359805872165452,704093.523122428,7.4601144202523,697546634,0.845885968878195,0.85,0.79581112608597,0.000300897981004953,0.2014537428974
2022-10-27,965,0.151178718162836,0.0476370709266884,0.217542661746445,0.00460204073797787,0.00256796211010173,0.00667866529958168,0.000791527069907411,5.19785888078278e-05,0.00233100398417682,0.089203311366334,0.00265682796976871,0.192976437708546,0.146830098699758,0.00512595605449748,0.240519464694698,0.441159247977861,0.231139218925449,0.591670851865628,5778589.43365755,659.053746261453,1483.1569868249,2569659.65657415,4.90532181923114,3.01085982620335,19470.5397080065,1454277.2975012,210.93103376776,0.417432509806531,704099.69597727,6.17285484155733,1722830913,0.843164868002946,0.85,0.796753177062134,0.000296459970044115,0.200516072376511
2022-10-28,966,0.152605613733098,0.031682349244692,0.2050653013388,0.00431120464043457,0.00269182317496667,0.00705649945444947,0.0010675259541804,6.02179223089291e-05,0.00252876009233503,0.0628019527171083,0.00255130109131546,0.181767721354733,0.084619247573499,0.00498395177880457,0.239933631932852,0.390576570729786,0.231587454633035,0.594861157686776,5785466.32845338,624.431729126193,1484.6170620946,2569871.78001264,5.3748061109619,2.82371286911885,19470.9084531149,1447432.9135648,212.123438492883,0.368745108360599,704105.202522617,5.50654534715852,1512991764,0.852135944481963,0.85,0.797701364823144,0.000291926522968265,0.19957236721992
2022-10-29,967,0.125676973432235,0.0216464411983673,0.195733507133196,0.00532095595925753,0.00295047221418164,0.00731321156262459,0.000880320551165443,3.62763186260166e-05,0.00212998298623389,0.0658043980177534,0.00246605161698786,0.175834060516453,0.0694839851936174,0.00446933528160511,0.236792270722336,0.401621688272373,0.228031674761196,0.592347811065429,5792370.74288269,600.856272749487,1477.0083680968,2570083.40515633,5.75334830853576,2.63814447412176,19471.2836243365,1440559.11514084,211.625143681653,0.375171221625351,704111.096832668,5.89431005077718,438135465,0.702606348304973,0.85,0.798653346997249,0.000287653452753109,0.198624606387341
