"","Fecha","Fallecido_diario"
"649",2021-12-15,5
"650",2021-12-16,4
"651",2021-12-17,6
"652",2021-12-18,6
"653",2021-12-19,8
"654",2021-12-20,1
"655",2021-12-21,7
"656",2021-12-22,2
"657",2021-12-23,3
"658",2021-12-24,5
"659",2021-12-25,6
"660",2021-12-26,4
"661",2021-12-27,4
"662",2021-12-28,8
"663",2021-12-29,2
"664",2021-12-30,4
"665",2021-12-31,5
"666",2022-01-01,6
"667",2022-01-02,68
"668",2022-01-03,21
"669",2022-01-04,3
"670",2022-01-05,0
"671",2022-01-06,0
"672",2022-01-07,4
"673",2022-01-08,6
"674",2022-01-09,3
"675",2022-01-10,1
"676",2022-01-11,1
"677",2022-01-12,0
"678",2022-01-13,19
"679",2022-01-14,20
"680",2022-01-15,22
"681",2022-01-16,21
"682",2022-01-17,33
"683",2022-01-18,33
"684",2022-01-19,34
"685",2022-01-20,43
"686",2022-01-21,48
"687",2022-01-22,46
"688",2022-01-23,65
"689",2022-01-24,76
"690",2022-01-25,71
"691",2022-01-26,64
"692",2022-01-27,47
"693",2022-01-28,59
"694",2022-01-29,46
"695",2022-01-30,56
"696",2022-01-31,61
"697",2022-02-01,7
"698",2022-02-02,47
"699",2022-02-03,15
"700",2022-02-04,1
"701",2022-02-05,0
"702",2022-02-06,1
"703",2022-02-07,4
"704",2022-02-08,10
"705",2022-02-09,2
"706",2022-02-10,0
"707",2022-02-11,0
"708",2022-02-12,0
"709",2022-02-13,27
"710",2022-02-14,29
"711",2022-02-15,30
"712",2022-02-16,24
"713",2022-02-17,37
"714",2022-02-18,23
"715",2022-02-19,29
"716",2022-02-20,16
"717",2022-02-21,21
"718",2022-02-22,23
"719",2022-02-23,33
"720",2022-02-24,19
"721",2022-02-25,20
"722",2022-02-26,18
"723",2022-02-27,16
"724",2022-02-28,16
"725",2022-03-01,3
"726",2022-03-02,57
"727",2022-03-03,13
"728",2022-03-04,3
"729",2022-03-05,0
"730",2022-03-06,0
"731",2022-03-07,8
"732",2022-03-08,15
"733",2022-03-09,2
"734",2022-03-10,0
"735",2022-03-11,0
"736",2022-03-12,0
"737",2022-03-13,6
"738",2022-03-14,4
"739",2022-03-15,3
"740",2022-03-16,3
"741",2022-03-17,7
"742",2022-03-18,6
"743",2022-03-19,6
"744",2022-03-20,6
"745",2022-03-21,3
"746",2022-03-22,3
"747",2022-03-23,2
"748",2022-03-24,5
"749",2022-03-25,4
"750",2022-03-26,3
"751",2022-03-27,0
"752",2022-03-28,1
"753",2022-03-29,4
"754",2022-03-30,0
"755",2022-03-31,3
"756",2022-04-01,5
"757",2022-04-02,47
"758",2022-04-03,12
"759",2022-04-04,2
"760",2022-04-05,1
"761",2022-04-06,0
"762",2022-04-07,8
"763",2022-04-08,7
"764",2022-04-09,1
"765",2022-04-10,1
"766",2022-04-11,1
"767",2022-04-12,2
"768",2022-04-13,0
"769",2022-04-14,1
"770",2022-04-15,0
"771",2022-04-16,2
"772",2022-04-17,1
"773",2022-04-18,1
"774",2022-04-19,0
"775",2022-04-20,1
"776",2022-04-21,0
"777",2022-04-22,0
"778",2022-04-23,0
"779",2022-04-24,0
"780",2022-04-25,0
"781",2022-04-26,0
"782",2022-04-27,0
"783",2022-04-28,1
"784",2022-04-29,0
"785",2022-04-30,0
"786",2022-05-01,3
"787",2022-05-02,44
"788",2022-05-03,19
"789",2022-05-04,3
"790",2022-05-05,0
"791",2022-05-06,3
"792",2022-05-07,12
"793",2022-05-08,10
"794",2022-05-09,1
"795",2022-05-10,0
"796",2022-05-11,0
"797",2022-05-12,0
"798",2022-05-13,1
"799",2022-05-14,0
"800",2022-05-15,1
"801",2022-05-16,1
"802",2022-05-17,2
"803",2022-05-18,0
"804",2022-05-19,0
"805",2022-05-20,0
"806",2022-05-21,0
"807",2022-05-22,0
"808",2022-05-23,2
"809",2022-05-24,0
"810",2022-05-25,0
"811",2022-05-26,1
"812",2022-05-27,0
"813",2022-05-28,0
"814",2022-05-29,2
"815",2022-05-30,0
"816",2022-05-31,1
"817",2022-06-01,7
"818",2022-06-02,42
"819",2022-06-03,7
"820",2022-06-04,1
"821",2022-06-05,0
"822",2022-06-06,1
"823",2022-06-07,7
"824",2022-06-08,3
"825",2022-06-09,4
"826",2022-06-10,1
"827",2022-06-11,0
"828",2022-06-12,0
"829",2022-06-13,1
"830",2022-06-14,2
"831",2022-06-15,1
"832",2022-06-16,0
"833",2022-06-17,4
"834",2022-06-18,0
"835",2022-06-19,5
"836",2022-06-20,0
"837",2022-06-21,4
"838",2022-06-22,1
"839",2022-06-23,3
"840",2022-06-24,3
"841",2022-06-25,6
"842",2022-06-26,4
"843",2022-06-27,4
"844",2022-06-28,9
"845",2022-06-29,3
"846",2022-06-30,4
"847",2022-07-01,12
"848",2022-07-02,50
"849",2022-07-03,9
"850",2022-07-04,0
"851",2022-07-05,0
"852",2022-07-06,0
"853",2022-07-07,10
"854",2022-07-08,9
"855",2022-07-09,1
"856",2022-07-10,0
"857",2022-07-11,1
"858",2022-07-12,0
"859",2022-07-13,7
"860",2022-07-14,14
"861",2022-07-15,14
"862",2022-07-16,15
"863",2022-07-17,14
"864",2022-07-18,12
"865",2022-07-19,12
"866",2022-07-20,17
"867",2022-07-21,16
"868",2022-07-22,13
"869",2022-07-23,21
"870",2022-07-24,14
"871",2022-07-25,14
"872",2022-07-26,13
"873",2022-07-27,9
"874",2022-07-28,12
"875",2022-07-29,6
"876",2022-07-30,8
"877",2022-07-31,2
"878",2022-08-01,6
"879",2022-08-02,41
"880",2022-08-03,15
"881",2022-08-04,3
"882",2022-08-05,1
"883",2022-08-06,2
"884",2022-08-07,19
"885",2022-08-08,8
"886",2022-08-09,2
"887",2022-08-10,0
"888",2022-08-11,0
"889",2022-08-12,0
"890",2022-08-13,7
"891",2022-08-14,7
"892",2022-08-15,6
"893",2022-08-16,2
"894",2022-08-17,3
"895",2022-08-18,3
"896",2022-08-19,1
"897",2022-08-20,0
"898",2022-08-21,2
"899",2022-08-22,5
"900",2022-08-23,1
"901",2022-08-24,3
"902",2022-08-25,6
"903",2022-08-26,1
"904",2022-08-27,4
"905",2022-08-28,2
"906",2022-08-29,1
"907",2022-08-30,3
"908",2022-08-31,4
"909",2022-09-01,11
"910",2022-09-02,37
"911",2022-09-03,10
"912",2022-09-04,2
"913",2022-09-05,1
"914",2022-09-06,0
"915",2022-09-07,7
"916",2022-09-08,8
"917",2022-09-09,4
"918",2022-09-10,0
"919",2022-09-11,0
"920",2022-09-12,0
"921",2022-09-13,0
"922",2022-09-14,1
"923",2022-09-15,1
"924",2022-09-16,1
"925",2022-09-17,3
"926",2022-09-18,2
"927",2022-09-19,0
"928",2022-09-20,1
"929",2022-09-21,1
"930",2022-09-22,2
"931",2022-09-23,1
"932",2022-09-24,0
"933",2022-09-25,0
"934",2022-09-26,1
"935",2022-09-27,0
"936",2022-09-28,1
"937",2022-09-29,0
"938",2022-09-30,0
"939",2022-10-01,8
"940",2022-10-02,33
"941",2022-10-03,10
"942",2022-10-04,0
"943",2022-10-05,0
"944",2022-10-06,1
"945",2022-10-07,8
"946",2022-10-08,9
"947",2022-10-09,1
"948",2022-10-10,0
"949",2022-10-11,0
"950",2022-10-12,1
"951",2022-10-13,0
"952",2022-10-14,0
"953",2022-10-15,0
"954",2022-10-16,0
"955",2022-10-17,1
"956",2022-10-18,0
"957",2022-10-19,1
"958",2022-10-20,2
"959",2022-10-21,0
"960",2022-10-22,1
"961",2022-10-23,1
"962",2022-10-24,0
"963",2022-10-25,0
"964",2022-10-26,0
"965",2022-10-27,0
"966",2022-10-28,0
"967",2022-10-29,1
"968",2022-10-30,0
"969",2022-10-31,0
"970",2022-11-01,16
"971",2022-11-02,38
"972",2022-11-03,7
"973",2022-11-04,1
"974",2022-11-05,3
"975",2022-11-06,2
"976",2022-11-07,13
"977",2022-11-08,8
"978",2022-11-09,1
"979",2022-11-10,0
"980",2022-11-11,0
"981",2022-11-12,0
"982",2022-11-13,0
"983",2022-11-14,0
"984",2022-11-15,3
"985",2022-11-16,0
"986",2022-11-17,0
"987",2022-11-18,3
"988",2022-11-19,0
"989",2022-11-20,0
"990",2022-11-21,0
"991",2022-11-22,3
"992",2022-11-23,0
"993",2022-11-24,0
"994",2022-11-25,0
"995",2022-11-26,1
"996",2022-11-27,0
"997",2022-11-28,0
"998",2022-11-29,0
"999",2022-11-30,0
"1000",2022-12-01,15
"1001",2022-12-02,35
"1002",2022-12-03,5
"1003",2022-12-04,0
"1004",2022-12-05,0
"1005",2022-12-06,4
"1006",2022-12-07,14
"1007",2022-12-08,5
"1008",2022-12-09,0
"1009",2022-12-10,0
"1010",2022-12-11,0
"1011",2022-12-12,0
"1012",2022-12-13,0
"1013",2022-12-14,1
"1014",2022-12-15,0
"1015",2022-12-16,1
"1016",2022-12-17,3
"1017",2022-12-18,5
"1018",2022-12-19,2
"1019",2022-12-20,8
"1020",2022-12-21,2
"1021",2022-12-22,6
"1022",2022-12-23,8
"1023",2022-12-24,2
"1024",2022-12-25,3
"1025",2022-12-26,3
"1026",2022-12-27,3
"1027",2022-12-28,4
"1028",2022-12-29,2
"1029",2022-12-30,6
"1030",2022-12-31,4
