"nombre","opt","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"lp__1",-12.2463851625912,-13.4938400092361,0.0295465366122006,1.28833258674787,-17.0598243704942,-13.9313184366434,-13.0950335205479,-12.5953736998811,-12.2779648037453,1901.26573637325,1.00677371307437
"beta2",0.269788057951026,0.231846329067254,0.00148659943031743,0.0745812581953338,0.0557142770068763,0.18833334979854,0.242105603454382,0.284438351057504,0.35231569519615,2516.93202860567,1.00476872612621
"sigma2",1.6259272739851,1.80609547053129,0.00633097587887935,0.401189879935209,1.2180788714444,1.52448540517573,1.74304847253966,2.01444533994039,2.75422474128769,4015.67559293099,1.00121317940853
"lp__2",-14.1276711317956,-15.396001723699,0.0276377045668348,1.26460354274569,-18.7291161761943,-15.881221615669,-15.0043707587461,-14.4904651710285,-14.1602267520963,2093.65369544331,1.00475149770924
"beta3",0.308999977087731,0.279509096636513,0.00152050640769798,0.0667781613525753,0.111798999596321,0.245405701182349,0.288843507213722,0.324779490702794,0.385247159928908,1928.82312825074,1.00693564472941
"sigma3",1.703647989977,1.89703184821639,0.0065727529135145,0.42730942900632,1.27415623029615,1.59871823428714,1.83017612343954,2.11837050663885,2.92430566873518,4226.59212394471,1.0025651290863
"lp__3",-14.5841827897557,-15.8411947946652,0.0318358371253353,1.28690246690428,-19.3480340901483,-16.2785660736583,-15.4381741516379,-14.9379606043446,-14.6155577249857,1634.02508158866,1.00717814202501
"beta4",0.390941424036369,0.374536842261323,0.000543054015398065,0.0498473988521628,0.25699134364338,0.348368747632353,0.380147019856765,0.407714692130672,0.456890503010444,8425.56324802778,1.00136931680891
"sigma4",2.03870812546071,2.26619706729123,0.00498274676941203,0.512911811756494,1.51194020100473,1.90570896492581,2.18415226466366,2.53477644901277,3.50180467096342,10596.14197005,1.00128604375796
"lp__4",-16.672754026778,-17.8367228169723,0.0136366753871707,1.15835216292796,-20.9953274947856,-18.2906190055478,-17.4780383685601,-17.0048087046228,-16.702846127037,7215.46331307578,1.00244449904784
"beta5",0.361247482868297,0.344792342048873,0.000762216489563226,0.0495052856246014,0.229569888050155,0.318122932928968,0.350225787524154,0.377063827611248,0.427235364555839,4218.38740108199,1.00355916747988
"sigma5",2.11884860928687,2.35905427796909,0.00691094713330716,0.535666567436589,1.58286280997059,1.98392347693233,2.2647010577195,2.62657006574308,3.67838582282149,6007.77890565386,1.0024986881899
"lp__5",-17.260925180927,-18.4222182484108,0.0192477323476387,1.15925865334895,-21.6299220755264,-18.870685619432,-18.0592199747813,-17.5878373209374,-17.2898568180007,3627.45096960647,1.00506411383387
"beta6",0.401119219882978,0.390454883665985,0.000537969532881576,0.0401365218147789,0.301188512515194,0.367798369346345,0.39389055832203,0.417239632283646,0.459709365897144,5566.2679311527,1.00196700482302
"sigma6",2.31998337961124,2.58080565103094,0.0073976872432504,0.578502044187044,1.73592438823525,2.17294578013983,2.48516126142535,2.87345176325233,3.98459220609067,6115.30134851985,1.00151632001641
